ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
AIverse,"Dev Tooling,Infrastructure,Metaverse","A next-gen Decentralized Platform to create, connect & earn by building AI and Metaverse apps. ",https://awesomenear.com/aiverse,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/aiverse.jpg,https://aiverse.co.in/,,,,,https://twitter.com/AIVerse_Dai,,https://t.me/AIVERSE_DAI,,,,https://drive.google.com/drive/folders/1FbfuV_EIa1iNA9oC4-W8CtFZzrC2516f,,,,," Aiverse provides a platform where users can buy or sell their AI/ML , Data and AR/VR solutions. Aiverse had two suites of products, The first is a marketplace for deep tech that is AI/ML, DATA, AR, VR applications, or assets. The second is a suite of no-code editor tools: one for AI and the other for the Metaverse. Apart from this Aiverse will have its metaverse which will be governed by ai digital beings.",,
Harmonic Guild,"Ecosystem,Guilds",Discover the simplicity of building your own NFT economy.,https://awesomenear.com/harmonic-guild,NEAR,,https://awesome-near.s3.amazonaws.com/harmonic-guild.jpg,https://www.harmonicguild.io/,,,,,https://twitter.com/HarmonicGuild,,https://t.me/harmonic_public,,,,,,,,," Harmonic Technology Guild is a partnership LLC, transitioning to become a democratic decentralized autonomous organization. We are focused on building a suite of NFT utilities for musicians, artists and daily internet users. We are undertaking development of custom NFT marketplaces, NFT distribution technologies, and NFT-based digital community tools. Everything we do has an eye to environmental sustainability and carbon negativity, with specific offerings in that vein coming soon. With our partners at Minting Music and Charm3d, we aim to bring transparency and meritocracy to the music industry by implementing the many benefits of Web3. We develop, coordinate, and work in sub-DAOs which operate many of our projects. Join Harmonic and help us build a better internet for everyone.",,
PureFi Protocol,"Aurora,Dev Tooling,Identity",The one-stop decentralized compliance protocol for Web3.,https://awesomenear.com/purefi-protocol,"COMING SOON,NEAR,AURORA",(UFI),https://awesome-near.s3.amazonaws.com/purefi-protocol.jpg,https://purefi.io/,,,,https://www.facebook.com/PureFiProtocol/,https://twitter.com/PureFi_Protocol,,https://t.me/purefiprotocol,,,,https://blog.purefi.io/,,,,," PureFi Protocol allows dApps to fully comply with local and global regulations while preserving decentralization and user anonymity. Developed by AMLBot in partnership with Hacken Foundation to provide a full-cycle solution for crypto asset analytics and AML/KYC procedures for the Web3 infrastructure. Moreover, PureFi Protocol will not use data from just one KYC/AML data provider, but instead will be an open market for verified providers to deliver ML analysis/KYC to dApps.","NEAR Grant,Aurora Grant",
Atmos Protocol,"Aurora,DeFi,Stablecoins",Autonomous Fractional-Algorithmic Stablecoin on Aurora.,https://awesomenear.com/atmos-protocol,"COMING SOON,AURORA",(ATM),https://awesome-near.s3.amazonaws.com/atmos-protocol.jpg,https://www.atmosprotocol.com/,,,,,https://twitter.com/Atmos_Protocol,,,https://discord.com/invite/bhJNJmGPdq,,https://medium.com/@atmosprotocol,https://atmos-protocol.gitbook.io/docs.atmosprotocol.com/,,,,," Atmos is an entirely decentralized, open-source, permission less protocol that operates on the Aurora chain. The protocol aims to provide an automated stablecoin mechanism, with minimization of control and human influence, which brings decentralized and algorithmic money to the entire space of the blockchain.",,
Portal,"Aurora,Bridges,Interoperability,Utilities",Token Bridge powered by Wormhole.,https://awesomenear.com/portalbridge,"NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/portal.jpg,https://www.portalbridge.com/,,,,,,,,,,,,,,,," Portal is a bridge that offers unlimited transfers across chains for tokens and NFTs wrapped by Wormhole. Unlike many other bridges, you avoid double wrapping and never have to retrace your steps.",,
Router Protocol,"Aurora,Bridges,Dev Tooling,Interoperability,Infrastructure",A modular infrastructure layer enabling blockchains to communicate with each other.,https://awesomenear.com/router-protocol,AURORA,,https://awesome-near.s3.amazonaws.com/router-protocol.jpg,https://www.routerprotocol.com/,,,,,https://twitter.com/routerprotocol,,https://t.me/routerprotocol,https://discord.com/invite/yjM2fUUHvN,,https://routerprotocol.medium.com/,https://docs.routerprotocol.com/,,,,," Router Protocol, a mechanism for cross-chain communication that will initially focus on the specific use case of bridging assets across multiple layer 1 and layer 2 networks by using stablecoins as the medium of value transfer.  In addition to asset transfers, Router Protocol also enables the flow of arbitrary messages across chains securely and seamlessly, thereby extending the composability of DeFi across various blockchains.",,
Spherium Finance,"Aurora,DApps,DeFi",Experience an Inclusive Cross Chain Interoperable DeFi Ecosystem.,https://awesomenear.com/spherium-finance,"COMING SOON,AURORA",,https://awesome-near.s3.amazonaws.com/spherium-finance.jpg,https://spherium.finance/,,,,https://www.facebook.com/SpheriumFinance-110505421482030,https://twitter.com/spheriumfinance,,https://t.me/spheriumcommunity,,https://www.linkedin.com/company/spherium/,https://medium.com/spherium-finance,https://docs-spherium-finance.gitbook.io/,,,,," Spherium Finance is an all in one DeFi platform that empowers the financial ecosystem by unifying the current scattered Decentralized Finance landscape. Spherium utilizes the principles of forecasting, investing, lending and borrowing to provide a single platform for multi-asset, cross-chain swaps, bridges, crypto financing solutions, and cross-chain interoperability. Spherium is set to make DeFi accessible for Institutions and Users alike, all the while developing an umbrella of decentralized, cross-chain and interoperable protocols to bridge the gap created by a plethora of blockchains and token facilitating projects.",Aurora Grant,
The Burning Realm,"DApps,Gaming,GameFi,NFT",The next generation of MMORPG built on NEAR.,https://awesomenear.com/the-burning-realm,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/the-burning-realm.jpg,https://theburningrealm.com/,,,,,https://twitter.com/TheBurningRealm,,,,,,,,,,," Explore a massively multiplayer world which runs seamlessly between desktop, tablet and mobile. Experience advanced social features and integrate your Web3 wallet to trade your in-game assets outside of the game. Explore the medieval land of Valisaris, complete quests and choose from 15 skills to train, battle against mytical creatures and create your own story.",,
Atomic Green,"Aurora,DApps,DeFi,DEX,Exchanges,Lending",The platform for leverage DEX trading built for EVM networks.,https://awesomenear.com/atomic-green,"COMING SOON,AURORA",,https://awesome-near.s3.amazonaws.com/atomic-green.jpg,https://atomic.green/,,,,,https://twitter.com/atomic__green,,,https://discord.com/invite/RnhR5mSzea,,https://medium.com/@atomic.green,,,,,, Atomic Green is featured by Timeus Lab - Spain-based blockchain development company with a broad portfolio including GOV and corporate projects. In 2020 Timeus Lab was concluded as an innovative company by the Spanish government.,Aurora Grant,
Free Horses,"Collectibles,NFT",The almighty creators of the utility NFT on NEAR universe.,https://awesomenear.com/free-horses,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/free-horses.jpg,https://freehorses.io/,,,,,https://twitter.com/Freehorses_,,,https://discord.com/invite/kjJxaHh4Cn,,,,,,,," There are only 21 God horses, that receive tribute from all the horse projects looking for an NFT Launchpad. These 21 horses have the ownership of the Free Horses Launchpad enterprise and grant voting power on the Free Horses DAO plus of course, the revenues.",,
Mountain&Sea,"Collectibles,NFT",The JuanJuan Metaverse Mountain&Sea.,https://awesomenear.com/mountainsea,NEAR,,https://awesome-near.s3.amazonaws.com/mountainsea.jpg,https://www.mountainsea.art/,,,,,https://twitter.com/Mountainsea_nft,,,https://discord.com/invite/cMeSWKQ66p,,,,,,,," At the heart of the Mountain&Sea Metaverse is the Rose Castle. The rose Castle's secret passageway leads to another world. In each world, JuanJuan Princess transforms into a different identity and meets strange and unexpected friends. In the different world no. 1 - The world of Mountain&Sea, roll through the endless empty darkness, suddenly see a strange mountain of fresh grass, god beast feng shuttle between heaven and earth, beautiful. Mountain&Sea Metaverse is a collection of 2022 NFT randomly and programmatically generated on the blockchain. Including JuanJuan 24, four god beast azure dragon, white tiger, vermilion bird, black tortoise 1500 each.",,
Pangolin,"DApps,DeFi,DEX,Exchanges",A community-driven decentralized exchange.,https://awesomenear.com/pangolin,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/pangolin.jpg,https://pangolin.exchange/,,,,https://www.facebook.com/pangolindex,https://twitter.com/pangolindex,https://github.com/pangolindex,https://t.me/pangolindexV2,https://discord.com/invite/pangolindex,,https://pangolindex.medium.com/,https://pangolin.exchange/litepaper,,,,," A community-driven decentralized exchange with low transaction fees, and a democratic distribution. Pangolin brings you the best trading opportunities to find and maximize your yield.",,
J0YRID3RZ,"Collectibles,NFT",J0YRID3RZ game with NFT ownership royalties.,https://awesomenear.com/j0yrid3rz,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/j0yrid3rz.jpg,http://j0yrid3rz.com/,,,,,https://twitter.com/J0YRID3RZ,,,https://discord.com/invite/RcdkhB6SVq,,,,,,,," J0YRID3RZ Is a 1,000 PFP NFT Project on the NEAR network, Including Unique 1/1 Art airdrops, Community driven DAO & playable online video game using the J0YRIDERZ Characters/Gangz inside the metaverse.",,
NEAR GoaDAO,"DAO,Ecosystem,NFT",Connection between creative Goa and NEAR Ecosystem.,https://awesomenear.com/near-goadao,NEAR,,https://awesome-near.s3.amazonaws.com/near-goadao.jpg,https://linktr.ee/near.goadao,,,,,https://twitter.com/goanearopenweb,,https://t.me/NEARopenweb,https://discord.com/invite/k7szRJQjkR,,,,,,,," Production center for goan NFT-artists on NEAR. performing workshops, NFT-labs, live meetings, NFT-contests, guiding artists and developers how to onboard on NEAR, curating independent creative projects",,
Crossword Puzzle,"DApps,Gaming",A crossword puzzle smart contract resistant to front-running.,https://awesomenear.com/crossword-puzzle,NEAR,,https://awesome-near.s3.amazonaws.com/crossword-puzzle.jpg,https://crossword.xyz/,,,,,https://twitter.com/crosswordxyz,https://github.com/near-examples/crossword-tutorial-chapter-1,,,,,,,,,," A smart contract powered crossword puzzle on the proof-of-stake, sharded NEAR Protocol blockchain. You don't need an account to play and win.",,
Hashbon Pass,"Aurora,DApps,Identity,NFT,Privacy",Tokenized All Web3 Pass to KYC while being anonymous.,https://awesomenear.com/hashbon-pass,AURORA,(HASH),https://awesome-near.s3.amazonaws.com/hashbon-pass.jpg,https://pass.hashbon.com/,,,https://app.pass.hashbon.com/,https://www.facebook.com/hashbon/,https://twitter.com/hashbon,,https://t.me/hashbon_com,,,https://hashbon.medium.com/,https://pass.hashbon.com/files/Hashbon_Pass_Whitepaper_v1.0.pdf,,,,," Hashbon Pass, or NFT Passport by Hashbon FiRe is an NFT and a decentralized protocol for reusable identity verification on blockchains such as Ethereum, Aurora, BNB Chain, Polygon and other EVM-compatible networks. It is the up-to-date, innovative solution to the KYC problem in DeFi for both individuals and services (B2C & B2B). The NFT Passport is issued by professional certified verifiers. Not only do they verify the authenticity of the submitted documents, but they also check the user’s presence in lists of sanctions, PEP lists (Politically Exposed Person) or other black lists. Moreover, this information is updated even after the creation of the NFT. Hashbon Pass’ key feature is anonymous KYC. This means that DeFi-protocols do not actually have access to the user s personal data, but they can filter out individuals from sanction lists, as well as calculate the user’s credit scoring and social rating.",,
Niche,"DAO,DApps,Social",Building the ecosystem for user-owned communities.,https://awesomenear.com/niche,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/niche.jpg,https://www.niche.club/,,,,https://www.facebook.com/nicheprotocol,https://twitter.com/nicheprotocol,,,,,,,,,,, Reinventing how people connect and build community.,,
Playible,"DApps,Gaming,GameFi,Sports",A Play2Earn NFT fantasy sports platform.,https://awesomenear.com/playible,NEAR,,https://awesome-near.s3.amazonaws.com/playible.jpg,https://playible.io/,,,https://app.playible.io/,,https://twitter.com/Playible,,,https://discord.com/invite/G9aZ2sqGKD,,,,,,,," Playible is a blockchain-based platform focused on bridging the gap between decentralized finance, NFT technology, and traditional gaming markets to offer free-to-enter fantasy sports contests with real cryptocurrency prizes. Collect once, play forever.",,
Unchain Fund,"DAO,Ecosystem",A charity project created by blockchain activists to support Ukraine with humanitarian aid.,https://awesomenear.com/unchain-fund,NEAR,,https://awesome-near.s3.amazonaws.com/unchain-fund.jpg,https://unchain.fund/,,,,https://www.facebook.com/unchainfund/,https://twitter.com/Unchainfund,,https://t.me/unchainfund,https://discord.com/invite/TMkDsBVBYz,,,https://app.astrodao.com/dao/unchain-fund.sputnik-dao.near,,,,," Today we have a well-established work of a huge team of the Fund. Donors from all over the world donate cryptocurrency to the Unchain Fund, then the fund selects recipients in Ukraine according to the fund's criteria and principles, and allocates funds either in cryptocurrency or in fiat currency: in hryvnias, dollars and others. We help hundreds of victims throughout Ukraine every day. Our rule of transparency in financial matters remains unshakable. We are accountable to you, our community, and to our common future for the money that the community allocates to help Ukrainians.",,
Carbon Finance,"DApps,DeFi",The First Fantasm fork on Aurora with a synthetic peg to NEAR.,https://awesomenear.com/carbon-finance,"COMING SOON,AURORA",(CARBON),https://awesome-near.s3.amazonaws.com/carbon-finance.jpg,https://carbon-fi.net/,,,,,https://twitter.com/carbondefi,https://github.com/carbon-finance,,,,,https://carbonfinancedefi.gitbook.io/,,,,," With Carbon Finance, we've introduce a decentralized solution by adopting a partial collateralized design, where Carbon's synthetic tokens are partially backed by a L1 token and partially by our native token. We've added some extra safety measures to ensure our native token stays collateralized. ",,
Spirit Dungeons,"DApps,Gaming",Incremental game with idle and offline progress.,https://awesomenear.com/spirit-dungeons,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/spirit-dungeons.jpg,https://spiritdungeons.com/,,,,,,,,https://discord.com/invite/HBqCfc9,,,,,,,," Follow the story of a necromancer who has just lost the great war is ready to rebuild his armies and fight again. In the process, he finds his conscience and is changing his life to become a righteous necromancer. You will build your willing dead army to attack ever-stronger waves of enemies! Wisely choose skills and attributes to aid your progress to get all trophies and unlock premium theme for free! It features 6 undead units, over 10 skills, and 75+ trophies! Premium Theme is unlocked by reaching all trophies (or having Coil membership)",,
Metaintro,"DApps,Ecosystem,Utilities","The resume wallet for web3, using NFT's & blockchain to reduce the time to hire.",https://awesomenear.com/metaintro,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/metaintro.jpg,https://www.metaintro.com/,,,,,https://twitter.com/metaintro,,,https://discord.com/invite/RWH7TyS7EB,,,,,,,," Metaintro is a professional resume wallet for web3. The on-chain resume holds proof-of-work, proof-of-skill, and proof-of-education, replacing the PDF resume. Job seekers can access their wallet through a browser extension, which can then be used to interact with web3 job applications.",NEAR Grant,
Backstage,"DApps,Metaverse,NFT",Decentralized ecosystem powering the events industry via NFT ticketing platform and Metaverse.,https://awesomenear.com/bksbackstage,"COMING SOON,NEAR",(BKS),https://awesome-near.s3.amazonaws.com/bksbackstage.jpg,https://bksbackstage.io/,,,,https://www.facebook.com/BKSBackstage,https://twitter.com/BackstageBks,https://github.com/BKSbackstage,https://t.me/BKSBackstage,,,https://bksbackstageofficial.medium.com/,https://bksbackstage.io/Backstage_WP.pdf,,,,," Backstage is powering the crypto revolution in the events industry. Through the BKS token and our blockchain ecosystem, Backstage aims to solve the current challenges facing the events and entertainment sectors. From financing and payments to NFT ticketing and marketplaces, Backstage $BKS will take the events industry toward a more sustainable, profitable and fair future. Backstage has a very strong and open community and everyone can join and contribute to the platform’s development by purchasing tokens and helping fund the entertainment industry.",,https://awesomenear.com/articles/backstage-is-integrating-with-near-protocol-blockchain-integration-planned-for-q3-2022
forbitswap,"DApps,DeFi,Exchanges",Open-source space protocol the ecosystem of financial apps.,https://awesomenear.com/forbitswap,NEAR,(FBS),https://awesome-near.s3.amazonaws.com/forbitswap.jpg,https://forbitswap.com/,,,https://near.forbitswap.com/,https://www.facebook.com/forbitswap,https://twitter.com/forbitswap,https://github.com/forbitswap,https://t.me/forbitswapOfficial,https://discord.com/invite/CnJqNa2wfG,,https://forbitswap.medium.com/,https://forbitspace.com/forbitspace-whitepaper.pdf,,,,," forbitswap is a decentralized exchange (DEX) running on Ethereum. It’s specifically designed for a swapping platform that cuts out the middleman and allows users to trade cryptocurrency directly with one another. This allows traders to retain control of their funds at all times rather than having to entrust them to an exchange provider, with trades executed using smart contracts. The forbitswap platform is a blockchain protocol that uses automated market makers (AMMs) and liquidity pools to facilitate peer-to-peer trading. Liquidity providers add tokens to forbitswap pools and are rewarded with a fee proportional to their share of the pool. forbitswap platform enables peer-to-peer (P2P) cryptocurrency trades that execute without order books or a centralized intermediary. The forbitswap platform achieves this with a liquidity pool model that uses automated smart contracts to enable prospective traders to access competing user-funded token reserves as the primary source of market liquidity. forbitswap protocol is a user-friendly front-end application, we offering some of the most optimist AMM protocols.",,
TrustRecruit,"DApps,Marketplaces,NFT,Octopus",Blockchain-Certified and AI-matched Trusted NFT Resume Marketplace.,https://awesomenear.com/trustrecruit,"COMING SOON,OCTOPUS",(TRT),https://awesome-near.s3.amazonaws.com/trustrecruit.jpg,https://www.trustrecruit.io/,,,,https://www.facebook.com/TrustRecruit-109869988206407,https://twitter.com/trust_recruit,,https://t.me/TrustRecruit,,https://www.linkedin.com/company/trustrecruit/,,https://www.trustrecruit.io/assets/images/pdf/TrustRecruit.pdf,,,,," TrustRecruit is Web3 based World’s First - Blockchain-Certified and AI-matched - Trusted NFT Resume Marketplace, where people can turn their resumes into verified NFTs, which can be bought, sold and viewed for recruitment purposes.",,
NEAR Robotics,"Collectibles,NFT","4,242 Robotics focused on innovation and mass adoption of the NEAR.",https://awesomenear.com/near-robotics,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/near-robotics.jpg,https://nearrobotics.io/,,,,,https://twitter.com/NEARRobotics,,,,,,,,,,," NEAR Robotics is a collection of 4,242 Robotics piloted by a group of passionate individuals focused on expediting mass adoption of NEAR Protocol.  ‍The year is 2,420 and planet Earth is at war over massive energy shortages from proof of work validation methods. NEAR Robotics have been deployed to help redefine business, creativity, and community while fighting to end the war on carbon intensive blockchain practices. ",,
GuildX,"DAO,DApps,Guilds","DAO Ecosystem for PlayToEarn Games, Guilds, and Investors.",https://awesomenear.com/guildx,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/guildx.jpg,https://guildx.io/,,,,https://www.facebook.com/GuildX-110816034850914,https://twitter.com/GuildXEcosystem,,,,,https://medium.com/@guildx,,,,,, GuildX – It is an ecosystem for gaming guilds (Play to Earn games players) and investors. It is a comprehensive tool consisting of a software solution and a set of decentralized solutions for gaming guilds for management and monetization. We use the NEAR protocol/Aurora EVM to speed up development and in the future we plan to follow an open source approach and perform functions for the development of the NEAR community.,,
Anza Academy,"Ecosystem,Education",Web3 education platform to onboard the next generation with confidence.,https://awesomenear.com/anza-academy,NEAR,,https://awesome-near.s3.amazonaws.com/anza-academy.jpg,https://anza.academy/,,,,https://www.facebook.com/anzaacademy,https://twitter.com/anzaacademy,,,https://discord.com/invite/TdxSXqn7vd,,,,,,,," We at Anza Academy believe blockchain and crypto will (and currently is) taking the world by storm. Unfortunately, the education available for the space is usually littered with complicated terms, technical explanations, and generally hard to manage interfaces. Our platform is here to change that. Our content goes step-by-step with hands-on learning to ensure you are confident in what you are doing and why. We want to ensure that you can reproduce what you are doing without the tutorial later on, and we believe that taking a hands-on approach is the best way to do that. Anza Academy features multiple tracks dedicated to learning different technologies, terms, and concepts. The information is 100% free, but we offer certificates to ""prove"" that you learnt the material to use in the professional industry for jobs or credibility.",,
PortalVerse,"Dev Tooling,Gaming,Infrastructure,Metaverse,Octopus",A decentralized cloud gaming network for open & highly immersive virtual worlds. ,https://awesomenear.com/portalverse,"COMING SOON,OCTOPUS",,https://awesome-near.s3.amazonaws.com/portalverse.jpg,https://www.portalverse.net/,,,,,https://twitter.com/Portalverse_Net,,,https://discord.com/invite/2jZ9brH2aJ,,https://medium.com/@PORTALVERSE_NETWORK,,,,,," PortalVerse is building a decentralized cloud gaming network. It enables everyone to enter open and immersive virtual worlds(MMOs) through the MaaS infrastructure. In other words, PortalVerse facilitates ordinary players to enter the immersive metaverse which they truly own at any time, from anywhere, and on any device. This will be achieved by establishing a community-based cloud-native protocol serving as the infrastructure of the metaverse.",,
Certy Network,"DApps,Identity,Social",Decentralized Storage for Degrees and Certificates.,https://awesomenear.com/certy-network,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/certy-network.jpg,https://certy.network/,,,,,https://twitter.com/CertyHQ,,https://t.me/certynetworkann,https://discord.com/invite/gAcZ7uCCUG,,https://medium.com/@CertyNetwork,,,,,," Certy Network is a decentralized storage for degrees and certificates. We intend to develop a Blockchain-powered application for educational credential validation with the goal of eliminating the underlying flaws of the current certification system that have fostered the dominance of counterfeit documents. Furthermore, to make use of the abundance of extractable data, we use Artificial Intelligence to personalize students’ learning pathways and support them with career orientation. Our project’s expected objective is to develop a forgery-free certification environment, which would dramatically improve the reputation of educational institutions and businesses’ recruitment of actual talents, while also enhancing students’ employability and job preparation. In addition, a Learn to Earn platform, where users may earn money while learning new skills, is being developed to leverage the aforementioned features.",,
ORAO Network,"Dev Tooling,Infrastructure,Oracles",Oracle Service for Custom Data Feeds.,https://awesomenear.com/orao-network,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/orao-network.jpg,https://orao.network/,,,,,https://twitter.com/OraoNetwork,,https://t.me/ORAOcommunity,,,https://orao.medium.com/,https://orao.network/Whitepaper/,,,,," ORAO Network oracle system provides a large variety of secure data at high speed in real-time. From general data to local weather, insurance services and trading algorithms are enabled through 37,000 data points. Combined with over 200 data sources, variations are endless. Accurate data is delivered to your smart contracts giving you an advantage over competitors through customization.",,
UTORG,"Infrastructure,Payments,On/Off Ramps",Licensed fiat-to-crypto gateway for Web3.,https://awesomenear.com/utorg,NEAR,,https://awesome-near.s3.amazonaws.com/utorg.jpg,https://utorg.pro/buy-near-with-usd/,,,,https://www.facebook.com/utorg.pro/,https://twitter.com/utorgcom,,,,,,,,,,," Utorg OÜ is a fintech company that offers а modern fiat to crypto exchange infrastructure to deliver а top-notch user experience. The company is EU-based and holds a license for providing a virtual currency service, in particular exchanging a virtual currency against a fiat currency, virtual currency wallet service, exchanging a virtual currency against a virtual currency. Utorg OÜ has PCI DSS Level 2 certification. The management Team of Utorg OÜ has an impressive longstanding experience in distributed ledger technologies, smart contracts, cyber-security, finance, banking, credit card processing, cryptocurrency market and e-commerce services. It helps us to satisfy the most challenging client needs.",,
NEAR Ocean,"Ecosystem,Education,Guilds",25% of mint + royalties are donated to climate.,https://awesomenear.com/near-ocean,NEAR,,https://awesome-near.s3.amazonaws.com/near-ocean.jpg,https://near-ocean.com/,,,,,https://twitter.com/nearocean_,,,https://discord.com/invite/PdQwPS5ujt,,,,,,,," NEAR Ocean is your news platform for the NEAR NFT Ecosystem. Find all your desired information about the space in one place: Announcements, Whitelist / NFT giveaways and Alpha for new and existing projects.",,
Lifetise,"DApps,DeFi,Metaverse",Building the FinTech Metaverse.,https://awesomenear.com/lifetise,"COMING SOON,NEAR",(LIFE),https://awesome-near.s3.amazonaws.com/lifetise.jpg,https://www.lifetise.io/,,,,,https://twitter.com/lifetise,,https://t.me/LifetiseChat,,https://www.linkedin.com/company/lifetise,https://lifetise.medium.com/,,,,,," Lifetise is building the world's most exciting Web3 consumer finance platform. Create your ideal life in our virtual world & see how to afford it in real life. Earn LIFE tokens as you progress towards your goals. Lifetise helps you plan how to afford your life goals: like buying a home, or having kids. We make it really easy to work out how much you should be spending and how much you'll need to save. Plus we guide you step-by-step through the whole process. It's all about taking away the uncertainty you might feel about the future. And giving you the tools and information to help you feel confident about making financial decisions.",,
UnicusOne,"DApps,Marketplaces,NFT","Your Web3 Platform for Metaverse, Gaming, and NFT Economy.",https://awesomenear.com/unicusone,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/unicusone.jpg,https://unicus.one/,,,,,https://twitter.com/Unicus_One,,https://t.me/UnicusOne_Open,https://discord.com/invite/e2SMaTa537,,https://unicusone.medium.com/,,,,,," UnicusOne is WaaS (Web3 as a Service) which mutiple solution like multi-chain NFT Marketplace, Whitelabel NFT Storefronts, a Widget solution that lets any Web 2.0 website integrate Web 3.0 feature, a Web 3.0 payments gateway that lets Web 2.0 to accepts payments in crypto and more.",,
VerdeX,"DApps,DeFi,Exchanges",A Comprehensive DeFi Suite.,https://awesomenear.com/verdex,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/verdex.jpg,https://verdex.finance/,,,,,,https://github.com/verdex-labs,https://t.me/verdexfinance,https://discord.com/invite/esADuXbfss,,https://medium.com/verdex,https://docs.verdex.finance/,,,,," VerdeX Labs is a decentralized hub that connects all of the primary DeFi use cases within one simple ecosystem on Algorand. In short, an all-in-one DeFi Platform!  We’re building a protocol with unique features that are either currently missing on Algorand or being better built by our team. These include VerdeX Wallet, VerdeX Starter, VerDEX Aggregator, VerdeX Vaults and VerdeX AMM.",,
NEAR Hacker House,"DAO,Ecosystem,Events","For Devs, Marketers, Artists, Founders: 1 Week of Building + Fun.",https://awesomenear.com/near-hacker-house,NEAR,,https://awesome-near.s3.amazonaws.com/near-hacker-house.jpg,https://linktr.ee/NEARHacks,,,,,https://twitter.com/NearHacks,,https://t.me/+LJ5pSZMet41mYzYx,https://discord.com/invite/hZM6gryYjx,,https://nearhacks.medium.com/,,,,,," The NEAR Hacker House is open to those looking to build projects on NEAR. It is a series of week-long in-real-life events with in-person guidance from key industry players in the NEAR ecosystem, providing technical training, mentorship, and acceleration for builders, artists, marketers and entrepreneurs in the Web3 space. Each night after the Hacker House, there are also community-driven networking events. The first two communities to host NEAR Hacker House are @NEAR__Miami, happening from May 18 to 22, followed by @NEAR_ATX from June 8 to 12.  Together, let us learn, build, relax and repeat. Builders, artists, founders, marketers, investors, everyone is welcome to come hang out with old/new friends in the NEAR community! Directory:
• Telegram group:
🌴Miami🌴 - Link
🌵Austin🌵 - Link • Participant interest form:
🌴Miami🌴 - Link
🌵Austin🌵 - Link • Sponsorship interest form:
🌴Miami🌴- Link
🌵Austin🌵- Link • Speaker/instrustor interest form:
🌴Miami🌴 - Link
🌵Austin🌵 - Link • Volunteer interest form:
🌴Miami🌴 - Link
🌵Austin🌵 - Link • Tentative schedule:
🌴Miami🌴 - Link
🌵Austin🌵 - to be confirmed • List of venues:
🌴Miami🌴 - Link
🌵Austin🌵 - to be confirmed",,
Datality,"DApps,Data",Connecting research data providers and data buyers of the world.,https://awesomenear.com/datality,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/datality.jpg,https://datality.com/,,,,,https://twitter.com/datality,,,,https://www.linkedin.com/company/datality-global/,https://medium.com/@datality,,,,,," Datality on the NEAR blockchain is the world’s first opportunity for the private researchers to market and monetize their data directly and safely to research data consumers. Its development will bring drastic positive change to research data markets. Since May 2020, the Datality team chose NEAR as the most performant, supported, scalable and secure blockchain to build the data markets platform of the future. Datality is the first peer-to-peer research data marketplace directly connecting buyers and sellers to safely transact data for value in a free market. Existing one-sided marketplaces dominate supply and market share – they hold back private sellers of data, inflate the cost to data consumers, and restrict a l the economic advantages of a free market.  Datality solves the multilateral data marketplace challenges of trust, provenance, fraud risk, appropriability and market thickness by employing blockchain, escrow systems, covenants, reputation management and local network effects.",NEAR Grant,
Minting Music Guild,"Ecosystem,Guilds",Music + NFT + Festivals + Experiences.,https://awesomenear.com/minting-music,NEAR,,https://awesome-near.s3.amazonaws.com/minting-music.jpg,https://www.mintingmusic.com/,,,,,https://twitter.com/mintingmusic1,,,,,,,,,,, Minting Music is a music-first NFT (non-fungible token) production and promotion company. We provide new ways to support and express your art with a focus on the future. We offer a full suite of custom services to bring your art to the decentralized digital world. Minting Music empowers artists with new ways to support their career and express their art in the decentralized digital world.,,
Blade Wars,"DApps,Gaming,GameFi",MMORPG Game + DEFI native to NEAR.,https://awesomenear.com/blade-wars,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/blade-wars.jpg,,,,,,https://twitter.com/BladeXworld,,,https://discord.com/invite/gTp5cCJRZ8,,,,,,,," Blade World is building the ecosystem that connects Gaming + DeFI protocols on NEAR.  We are focused on making Blade World the fastest, cheapest, and most efficient AMM + Game on the NEAR ecosystem.",,
